DATE,CSUSHPISA
01/01/00,100.552
01/02/00,101.339
01/03/00,102.126
01/04/00,102.922
01/05/00,103.677
01/06/00,104.423
01/07/00,105.054
01/08/00,105.768
01/09/00,106.537
01/10/00,107.381
01/11/00,108.3
01/12/00,109.138
01/01/01,109.847
01/02/01,110.501
01/03/01,111.108
01/04/01,111.65
01/05/01,112.162
01/06/01,112.795
01/07/01,113.491
01/08/01,114.167
01/09/01,114.81
01/10/01,115.308
01/11/01,115.854
01/12/01,116.451
01/01/02,117.143
01/02/02,117.845
01/03/02,118.688
01/04/02,119.611
01/05/02,120.724
01/06/02,121.812
01/07/02,122.887
01/08/02,123.83
01/09/02,124.778
01/10/02,125.733
01/11/02,126.667
01/12/02,127.621
01/01/03,128.46
01/02/03,129.355
01/03/03,130.148
01/04/03,130.885
01/05/03,131.735
01/06/03,132.649
01/07/03,133.775
01/08/03,134.967
01/09/03,136.294
01/10/03,137.532
01/11/03,138.793
01/12/03,140.18
01/01/04,141.647
01/02/04,143.193
01/03/04,145.058
01/04/04,146.591
01/05/04,148.183
01/06/04,149.848
01/07/04,151.335
01/08/04,152.631
01/09/04,154.177
01/10/04,155.75
01/11/04,157.527
01/12/04,159.33
01/01/05,161.288
01/02/05,163.343
01/03/05,165.81
01/04/05,167.501
01/05/05,169.351
01/06/05,171.19
01/07/05,172.859
01/08/05,174.442
01/09/05,176.438
01/10/05,178.028
01/11/05,179.682
01/12/05,180.91
01/01/06,182.32
01/02/06,183.287
01/03/06,184.363
01/04/06,184.329
01/05/06,184.156
01/06/06,183.508
01/07/06,183.068
01/08/06,182.595
01/09/06,182.8
01/10/06,183.201
01/11/06,183.611
01/12/06,184.141
01/01/07,184.518
01/02/07,184.598
01/03/07,184.15
01/04/07,183.01
01/05/07,181.6
01/06/07,180.255
01/07/07,179.114
01/08/07,178.121
01/09/07,177.561
01/10/07,176.626
01/11/07,175.147
01/12/07,174.341
01/01/08,173.133
01/02/08,171.541
01/03/08,170.054
01/04/08,168.338
01/05/08,166.66
01/06/08,165.019
01/07/08,163.57
01/08/08,161.991
01/09/08,160.311
01/10/08,158.328
01/11/08,156.141
01/12/08,153.617
01/01/09,151.505
01/02/09,150.012
01/03/09,148.659
01/04/09,147.948
01/05/09,147.693
01/06/09,148.088
01/07/09,148.407
01/08/09,148.273
01/09/09,148.021
01/10/09,147.847
01/11/09,148.134
01/12/09,147.93
01/01/10,147.394
01/02/10,145.631
01/03/10,145.859
01/04/10,146.399
01/05/10,146.389
01/06/10,145.716
01/07/10,144.985
01/08/10,143.908
01/09/10,143.011
01/10/10,142.522
01/11/10,142.167
01/12/10,142.058
01/01/11,141.522
01/02/11,140.351
01/03/11,139.983
01/04/11,140.007
01/05/11,139.901
01/06/11,139.857
01/07/11,139.727
01/08/11,139.305
01/09/11,138.664
01/10/11,137.95
01/11/11,137.149
01/12/11,136.671
01/01/12,136.602
01/02/12,136.526
01/03/12,137.902
01/04/12,139.156
01/05/12,140.158
01/06/12,141.031
01/07/12,141.67
01/08/12,142.279
01/09/12,142.908
01/10/12,143.601
01/11/12,144.585
01/12/12,145.501
01/01/13,146.832
01/02/13,147.777
01/03/13,149.96
01/04/13,151.52
01/05/13,152.855
01/06/13,154.205
01/07/13,155.611
01/08/13,156.976
01/09/13,158.235
01/10/13,159.247
01/11/13,160.077
01/12/13,160.997
01/01/14,161.947
01/02/14,162.531
01/03/14,163.098
01/04/14,163.408
01/05/14,163.676
01/06/14,164.074
01/07/14,164.581
01/08/14,165.219
01/09/14,165.91
01/10/14,166.648
01/11/14,167.342
01/12/14,168.061
01/01/15,168.669
01/02/15,169.15
01/03/15,169.83
01/04/15,170.332
01/05/15,170.913
01/06/15,171.495
01/07/15,172.141
01/08/15,172.941
01/09/15,173.835
01/10/15,174.802
01/11/15,175.751
01/12/15,176.555
01/01/16,177.294
01/02/16,177.66
01/03/16,178.197
01/04/16,178.826
01/05/16,179.499
01/06/16,180.156
01/07/16,180.878
01/08/16,181.87
01/09/16,182.831
01/10/16,183.752
01/11/16,184.75
01/12/16,185.701
01/01/17,186.802
01/02/17,187.327
01/03/17,188.08
01/04/17,188.874
01/05/17,189.791
01/06/17,190.666
01/07/17,191.543
01/08/17,192.728
01/09/17,193.763
01/10/17,194.762
01/11/17,195.873
01/12/17,197.059
01/01/18,198.197
01/02/18,199.165
01/03/18,200.107
01/04/18,200.963
01/05/18,201.785
01/06/18,202.544
01/07/18,203.078
01/08/18,203.791
01/09/18,204.325
01/10/18,204.98
01/11/18,205.468
01/12/18,205.885